seed,layer_idx,l2,split,accuracy,precision,recall,f1,auroc
0,4,0.0,train,0.9994262550670409,0.9865536392867582,1.0,0.9932313125367863,0.9999446868896484
0,4,0.0,val,0.9770635044468716,0.972,0.45849056603773586,0.6230769230769231,0.9878243207931519
0,4,0.0001,train,0.9992516370439664,0.982532751091703,1.0,0.9911894273127753,0.9999923706054688
0,4,0.0001,val,0.9772975503198627,0.9543726235741445,0.47358490566037736,0.6330390920554856,0.9725937843322754
0,4,0.001,train,0.9991269098846274,0.9796806966618288,1.0,0.9897360703812317,0.9999459385871887
0,4,0.001,val,0.9770635044468716,0.9609375,0.4641509433962264,0.6259541984732824,0.9829728007316589
0,4,0.01,train,0.9992765824758341,0.9831051558403728,1.0,0.9914806110458285,0.999993085861206
0,4,0.01,val,0.9786238102668123,0.9539007092198581,0.5075471698113208,0.6625615763546797,0.9864304065704346
0,8,0.0,train,0.9981041471780481,0.9569038843209526,1.0,0.977977397855694,0.9999140501022339
0,8,0.0,val,0.9794819784677797,0.9348534201954397,0.5415094339622641,0.6857825567502986,0.9841371774673462
0,8,0.0001,train,0.9959837854692859,0.9129023532593995,1.0,0.9544683257918553,0.9997668862342834
0,8,0.0001,val,0.9886877828054299,0.8936605316973415,0.8245283018867925,0.8577036310107949,0.9950072765350342
0,8,0.001,train,0.9981789834736514,0.9585345072422607,1.0,0.9788283062645011,0.9998338222503662
0,8,0.001,val,0.9829926665626463,0.9431818181818182,0.6264150943396226,0.7528344671201814,0.9953016042709351
0,8,0.01,train,0.9987402556906766,0.9714861751152074,0.9994074074074074,0.9852490141667883,0.9999076724052429
0,8,0.01,val,0.9873615228584802,0.9509803921568627,0.7320754716981132,0.8272921108742003,0.9948890209197998
0,12,0.0,train,0.9949236046149049,0.8925925925925926,0.9997037037037036,0.9431167016072677,0.9998660683631897
0,12,0.0,val,0.9896239662973942,0.8724202626641651,0.8773584905660378,0.8748824082784572,0.9971063733100891
0,12,0.0001,train,0.995148113501715,0.896863370547581,0.9997037037037036,0.9454953061510437,0.9999210834503174
0,12,0.0001,val,0.9881416757684506,0.8764940239043825,0.8301886792452831,0.8527131782945737,0.9936649203300476
0,12,0.001,train,0.9972934206423448,0.9420492721164614,0.997037037037037,0.9687634950338276,0.9999046921730042
0,12,0.001,val,0.9826025901076612,0.9093333333333333,0.6433962264150943,0.7535911602209945,0.9936108589172363
0,12,0.01,train,0.9971188026192703,0.9366666666666666,0.9991111111111111,0.9668817204301076,0.9999485015869141
0,12,0.01,val,0.984552972382587,0.8971291866028708,0.7075471698113207,0.791139240506329,0.9937702417373657
0,16,0.0,train,0.9965450576863112,0.9241511500547646,1.0,0.9605806176177601,0.9999680519104004
0,16,0.0,val,0.9903261039163677,0.8996062992125984,0.8622641509433963,0.8805394990366088,0.9981220960617065
0,16,0.0001,train,0.9947365138758965,0.8888596260205426,1.0,0.9411600669269381,0.9998538494110107
0,16,0.0001,val,0.9901700733343736,0.8884615384615384,0.8716981132075472,0.88,0.9975805282592773
0,16,0.001,train,0.9975428749610228,0.9450980392156862,0.9997037037037036,0.9716342692584592,0.999947190284729
0,16,0.001,val,0.9858792323295366,0.9373433583959899,0.7056603773584905,0.8051668460710442,0.9971020817756653
0,16,0.01,train,0.9969691300280636,0.9335548172757475,0.9991111111111111,0.965221124946329,0.999937891960144
0,16,0.01,val,0.9879076298954595,0.9411764705882353,0.7547169811320755,0.837696335078534,0.996908962726593
0,20,0.0,train,0.9982787652011226,0.9617689015691869,0.9988148148148148,0.9799418604651163,0.9999130964279175
0,20,0.0,val,0.980106100795756,0.939297124600639,0.5547169811320755,0.697508896797153,0.991284966468811
0,20,0.0001,train,0.9974680386654194,0.9457560427206295,0.997037037037037,0.9707197461416414,0.9998907446861267
0,20,0.0001,val,0.9872054922764862,0.937799043062201,0.7396226415094339,0.8270042194092827,0.9947614073753357
0,20,0.001,train,0.997991892734643,0.9723691945914168,0.9801481481481481,0.9762431754463626,0.9998947978019714
0,20,0.001,val,0.9775315961928538,0.9548872180451128,0.47924528301886793,0.6381909547738693,0.9917692542076111
0,20,0.01,train,0.9950982226379794,0.8957006369426752,1.0,0.9449811003779924,0.9999034404754639
0,20,0.01,val,0.9879076298954595,0.8698224852071006,0.8320754716981132,0.8505303760848602,0.9947426915168762
0,24,0.0,train,0.9974555659494855,0.9462426118772868,0.9961481481481481,0.970554272517321,0.9997744560241699
0,24,0.0,val,0.9851770947105633,0.9187192118226601,0.7037735849056603,0.797008547008547,0.9938949346542358
0,24,0.0001,train,0.9983037106329903,0.9739537606087211,0.9860740740740741,0.9799764428739695,0.99984210729599
0,24,0.0001,val,0.9786238102668123,0.9475524475524476,0.5113207547169811,0.6642156862745098,0.9965235590934753
0,24,0.001,train,0.9963454942313689,0.9205786026200873,0.9994074074074074,0.9583747691433443,0.9998243451118469
0,24,0.001,val,0.9877515993134655,0.9098901098901099,0.7811320754716982,0.8406091370558377,0.9951125979423523
0,24,0.01,train,0.9966323666978485,0.9275681630404847,0.9979259259259259,0.9614616043391377,0.9998719692230225
0,24,0.01,val,0.9886877828054299,0.9157667386609071,0.8,0.8539778449144009,0.994811475276947
